,run,epoch,reward,epoch duration,run duration,batch_size,loss,loss_multply_by_batch_size
0,1,1,-0.04686868686868689,77.87314486503601,82.63079571723938,315,,
1,1,2,-0.0051790633608814985,180.71420812606812,267.21809482574463,315,,
2,1,3,-0.00012855831037649048,568.7813169956207,840.4612767696381,315,,
3,1,4,0.0009182736455463442,228.309494972229,1072.9408466815948,315,,
4,1,5,-0.023360881542699725,276.20313000679016,1353.0975148677826,315,0.046045489609241486,14.504329226911068
5,1,6,-0.00012855831037649114,301.928701877594,1659.8227498531342,315,0.3351245581926334,105.56423583067954
6,1,7,-0.03419651056014695,79.8460648059845,1743.7901556491852,315,0.021597130410742783,6.803096079383977
7,1,8,-0.025123966942148725,114.22047901153564,1862.7233698368073,315,0.02959007327814424,9.320873082615435
8,1,9,-0.00012855831037648707,280.05369806289673,2147.344540834427,315,0.055569920958655455,17.50452510197647
9,1,10,0.003296602387511454,199.03791999816895,2351.1238448619843,315,0.006285194063647872,1.9798361300490797
10,1,11,0.00012855831037649322,337.45857095718384,2693.8429329395294,315,0.011003213462933514,3.466012240824057
11,1,12,4.5913682277319906e-05,460.5291037559509,3158.3610486984253,315,0.05760369819611134,18.14516493177507
12,1,13,-3.3576386029160465e-18,576.19571185112,3739.230442047119,315,0.005444336607257673,1.714966031286167
13,1,14,-0.0483011937557392,93.10493397712708,3836.8088047504425,315,0.030875876283509626,9.725901029305533
14,1,15,-0.03977043158861338,134.60984206199646,3975.9120829105377,315,0.005088725985611774,1.6029486854677089
15,1,16,-0.0240495867768595,109.48763513565063,4092.11093378067,315,0.0006360273825795581,0.20034862551256083
16,1,17,-0.027245179063360898,94.71393990516663,4191.232763767242,315,4.397138299181178e-05,0.01385098564242071
17,1,18,0.00026629935720844816,575.2125201225281,4770.5583329200745,315,3.827282423102703e-05,0.012055939632773516
18,1,19,-0.03936639118457302,114.58688521385193,4889.405201911926,315,0.0008530733030056581,0.2687180904467823
19,1,20,-0.00021120293847566712,602.7758071422577,5496.546189785004,315,0.0017498584706955294,0.5512054182690918
20,1,21,-0.038907254361799835,69.01944303512573,5570.805548667908,315,0.02034686459782755,6.4092623483156785
21,1,22,-0.012690541781450874,89.0374641418457,5664.087803840637,315,0.00017832924791109112,0.056173713091993704
22,1,23,-3.673094582185271e-05,210.757080078125,5879.303572893143,315,0.0024711707160421943,0.7784187755532912
23,1,24,-0.042635445362718086,81.22972130775452,5964.269216775894,315,0.00039996439257568756,0.12598878366134159
24,1,25,-0.027493112947658424,58.50717377662659,6026.566872835159,315,0.0008405372419575644,0.26476923121663276
25,1,26,0.0001561065197428854,394.1868381500244,6424.484538793564,315,0.003130024971618522,0.9859578660598345
26,1,27,0.0005142332415059693,294.1733787059784,6722.314379692078,315,0.0003913935830092265,0.12328897864790633
27,1,28,-0.04292011019283746,171.55356192588806,6897.605760812759,315,0.012555055177977515,3.9548423810629174
28,1,29,-0.04326905417814502,90.51017332077026,6991.843827962875,315,0.0007386416779939152,0.23267212856808328
29,1,30,-0.047621671258034924,65.91057419776917,7062.362175941467,315,0.0016197152584186008,0.5102103064018593
30,1,31,0.00016528925619834612,318.9511592388153,7384.837981939316,315,0.0016421047498985741,0.5172629962180508
31,1,32,-0.0031680440771349673,215.34276008605957,7604.067702770233,315,0.0011945558012124069,0.3762850773819082
32,1,33,-0.04524334251606977,82.99985694885254,7691.217325687408,315,2.009719468881644e-05,0.006330616326977179
33,1,34,-0.028696051423324143,68.66641116142273,7763.505309820175,315,1.9420250795057712e-05,0.006117379000443179
34,1,35,-0.03771349862258954,90.27145099639893,7857.526005029678,315,1.98920675713799e-05,0.006266001284984668
35,1,36,-0.0370156106519743,69.62653708457947,7931.259143829346,315,1.8833433307644022e-05,0.0059325314919078664
36,1,37,0.0002571166207529904,163.700936794281,8099.77477478981,315,2.194132539154943e-05,0.006911517498338071
37,1,38,0.00016528925619834322,408.65200781822205,8514.262386798859,315,7.65572476233328e-05,0.02411553300134983
38,1,39,-0.03343434343434337,88.27607989311218,8606.113229751587,315,7.499711388109496e-05,0.02362409087254491
39,1,40,-0.045996326905417835,79.97963905334473,8690.877201795578,315,0.00010515189104707033,0.03312284567982715
40,1,41,-0.02085399449035816,73.7190990447998,8768.70535993576,315,6.891614297245045e-05,0.021708585036321892
41,1,42,-0.01803489439853075,134.2364318370819,8908.609743833542,315,6.203200920271994e-05,0.01954008289885678
42,1,43,-0.04276400367309458,269.9445171356201,9183.124616861343,315,6.781783637658616e-05,0.021362618458624638
43,1,44,-0.017832874196510567,74.9882607460022,9262.450949907303,315,0.00032931264863619283,0.10373348432040075
44,1,45,-0.02333333333333332,237.40463209152222,9503.894901037216,315,5.163516821734707e-05,0.016265077988464327
45,1,46,3.673094582185403e-05,569.1283760070801,10077.173030853271,315,6.080952412698285e-05,0.019155000099999597
46,1,47,-0.03129476584022039,280.44783902168274,10362.150275707245,315,4.584497684037261e-05,0.014441167704717373
47,1,48,7.346189164370794e-05,296.32602095603943,10662.641030788422,315,9.643899785794294e-05,0.030378284325252025
48,1,49,0.00033057851239669565,377.67415380477905,11047.913421869278,315,1.852330831839243e-05,0.005834842120293615
49,1,50,-0.026822773186409566,81.55221605300903,11134.456896066666,315,2.194902840745358e-05,0.006913943948347878
50,1,51,-0.021083562901744728,174.5446219444275,11313.662364959717,315,5.21228319427344e-05,0.016418692061961337
51,1,52,-0.021000918273645523,117.48825812339783,11435.645684957504,315,2.542459324537222e-05,0.00800874687229225
52,1,53,-0.020284664830119377,78.62914323806763,11521.096707820892,315,2.8327062705463345e-05,0.008923024752220954
53,1,54,-0.025656565656565666,93.09531092643738,11618.206264734268,315,3.5810423469229136e-05,0.011280283392807178
54,1,55,-0.0001377410468319557,364.51372385025024,11986.873590707779,315,4.311531954463423e-05,0.013581325656559784
55,1,56,-0.04479338842975208,105.4250590801239,12097.391093730927,315,3.071844069396205e-05,0.009676308818598045
56,1,57,-0.03650137741046832,65.9393858909607,12167.879707813263,315,3.6677324541891545e-05,0.011553357230695838
57,1,58,-0.03934802571166206,90.57278394699097,12263.588606834412,315,2.3513851461064493e-05,0.007406863210235315
58,1,59,-0.05596877869605146,126.68034219741821,12395.207978963852,315,3.785998980299429e-05,0.011925896787943202
59,1,60,3.6730945821855415e-05,278.2234399318695,12678.385719776154,315,3.3337130526700684e-05,0.010501196115910716
60,1,61,-0.0355188246097337,108.13168287277222,12791.81961774826,315,3.7070492099802424e-05,0.011677205011437763
61,1,62,-0.020890725436179963,119.47244501113892,12917.151043891907,315,2.7765386827619903e-05,0.008746096850700269
62,1,63,-0.01776859504132231,152.06073808670044,13074.966805696487,315,2.8918663882370945e-05,0.009109379122946848
